"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Transport and catabolism","hsa04137","Mitophagy - animal","47/2647","105/9370",0.447619047619048,1.58450716894238,3.77923427180361,0.000208751576683286,0.000954292921980735,NA,"9927/79594/338382/65018/440738/3725/664/5599/283106/79671/55626/3265/5970/643246/11331/267/1459/22879/55288/10241/7157/23770/7311/10452/6237/10651/1869/84557/6714/23786/25813/7879/22808/4976/4286/5602/5601/107986346/2309/5071/7942/285973/27342/221960/665/7186/7415",47
"Metabolism","Glycan biosynthesis and metabolism","hsa00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate","14/2647","21/9370",0.666666666666667,2.3599042941695,3.91451036303553,0.00028043079647929,0.00126553385077833,NA,"126792/51363/55454/50515/22856/64131/64132/79586/166012/11285/10090/54480/55501/55790",14
"Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","48/2647","109/9370",0.440366972477064,1.55883586403857,3.68222744920895,0.00028820380493044,0.00128414859918373,NA,"2475/6097/3570/6258/919/3725/3716/5599/5970/6778/920/3320/4792/2353/6095/4088/3566/5595/4775/6777/6776/6774/4087/4089/4772/7297/9466/3718/3594/3554/7535/3460/861/5594/3560/6300/5600/4790/59067/5602/5601/3113/3115/5603/3662/3569/3551/6256",48
"Organismal Systems","Nervous system","hsa04721","Synaptic vesicle cycle","37/2647","79/9370",0.468354430379747,1.65790744716971,3.68458985940287,0.00032347208794687,0.00142327718696623,NA,"6512/161/6506/6809/10312/2054/6539/6540/594855/527/112755/6530/535/1213/6844/1785/773/23025/1175/8775/160/245973/525/8218/6538/6529/10815/6534/10814/1212/6507/6804/6812/1759/774/1211/6505",37
"Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","88/2647","227/9370",0.387665198237885,1.37227914903248,3.5627005082173,0.000343907214074878,0.00149451036239947,NA,"2475/3570/842/2786/10000/3716/5293/355/90993/3265/5331/5970/595/5829/3709/112/7132/2784/5925/207/196883/4776/4792/5732/801/5330/5604/11214/7249/5595/115/113/4775/51764/6347/6774/3690/2793/10672/2885/7157/5881/4772/5566/2767/208/5605/9138/808/94235/3661/3554/7852/1385/109/1869/6714/2778/23236/5332/3588/637/1399/5594/5880/6300/5600/1499/4790/5156/340061/108/6892/3710/5603/7422/6009/3569/2768/107/1956/5879/114/5747/2185/3551/7186/5568",88
"Human Diseases","Cancer: specific types","hsa05226","Gastric cancer","62/2647","150/9370",0.413333333333333,1.46314066238509,3.58785692361139,0.000356864553019313,0.00153190637393656,NA,"2475/1855/6258/7042/54361/10000/5293/2253/6934/2263/1643/3265/4041/595/81029/7471/5925/207/7043/399694/5604/4088/8312/5595/2064/3728/7473/8313/2885/7157/4087/4089/596/208/5605/25759/27006/8324/80326/1496/83439/1869/5594/7477/7476/1857/1499/7474/51176/2247/2549/6932/2246/8817/6469/1956/8326/8822/9134/6256/53358/10912",62
"Environmental Information Processing","Signaling molecules and interaction","hsa04519","Cadherin signaling","145/2647","404/9370",0.358910891089109,1.27049302965808,3.48730094943543,0.000387371473486051,0.00164282841767578,NA,"10451/81839/1855/57216/5317/2563/54361/473/6934/5599/64072/10413/55800/7003/10083/11187/3265/5970/8642/4041/4647/154810/283446/81029/7471/144501/3855/3889/3852/112802/121391/196374/3856/4640/26524/10186/51466/84962/64403/4792/23002/5663/23191/2558/2567/342184/4643/5604/10518/3480/79905/8312/9344/5595/1387/1003/1014/1001/1012/1013/7531/4641/5606/4642/2064/3728/7473/8313/124590/147138/71/5881/1000/28316/126374/6324/5605/7408/2909/6237/8324/80326/1496/83439/64405/60437/1002/5594/5880/2033/7477/9620/6300/5600/51421/7476/22808/25937/1857/6331/1499/8994/1951/7474/166336/375323/4790/51176/54798/2195/2560/5156/5602/1501/6932/56142/5098/56098/5159/26999/2566/23286/5601/10184/2697/7005/5603/23500/22881/653857/57180/64005/1956/60/5879/8326/10552/5747/2185/2260/3551/6788/81873/7410/117531",145
"Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","51/2647","119/9370",0.428571428571429,1.51708133196611,3.56188614792418,0.000420500629773892,0.00176209787714774,NA,"1435/7133/10000/3725/5293/840/5599/355/90993/83786/5970/7132/7187/207/4323/4792/2353/9252/5604/5595/64127/1540/64285/5606/6347/9020/79651/3383/208/602/5609/8837/1385/6868/182/5594/10454/6300/5600/4790/5602/3659/5601/23118/5603/6885/3569/3551/7185/153090/7186",51
"Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","45/2647","103/9370",0.436893203883495,1.5465392219072,3.49955158426964,0.000543306425120356,0.00222217254091444,NA,"477/1307/1296/1298/1308/1305/486/3784/6520/10008/1280/1282/1284/6564/9056/6547/440387/1277/482/50509/478/3783/6510/6543/1285/1293/1299/57642/80781/1291/1294/91522/1302/8645/81578/1303/136227/1358/1357/2006/169044/85301/1289/6505/1306",45
"Metabolism","Carbohydrate metabolism","hsa00562","Inositol phosphate metabolism","36/2647","78/9370",0.461538461538462,1.6337798959635,3.52673797454498,0.000549230145055556,0.00222217254091444,NA,"9651/3633/5293/22876/3632/51196/5286/5331/3636/8898/79837/3705/5330/10423/51763/113026/3613/23396/3628/84812/3635/3631/23236/5332/5297/8897/27124/55586/23007/8821/8871/117283/9108/56623/8395/64768",36
"Human Diseases","Infectious disease: bacterial","hsa05100","Bacterial invasion of epithelial cells","36/2647","78/9370",0.461538461538462,1.6337798959635,3.52673797454498,0.000549230145055556,0.00222217254091444,NA,"10459/10163/5293/1793/2017/5829/3678/399694/1213/10801/71/1785/25759/1496/6714/8218/1399/55964/3059/26084/1499/2549/79658/55752/1212/653857/57180/9844/60/5879/10552/5747/81873/1759/1211/53358",36
"Cellular Processes","Cellular community - eukaryotes","hsa04530","Tight junction","68/2647","170/9370",0.4,1.4159425765017,3.43404482045352,0.000576415175716532,0.00228364250606364,NA,"50848/5590/149461/3725/55844/56288/5599/595/2017/1740/154810/84790/9071/84952/123720/55114/9080/3996/2064/3993/71/23327/5566/4218/7408/8189/79784/5518/23370/5609/5581/10398/6714/84612/26285/7074/861/23562/7122/4627/3059/51421/10686/776/9223/100132463/5522/5602/11346/5601/5562/4214/153562/100506658/93643/79778/653857/51422/57180/60/5879/10552/23513/137075/54566/81873/5568/9414",68
"Organismal Systems","Endocrine system","hsa04920","Adipocytokine signaling pathway","33/2647","70/9370",0.471428571428571,1.66878946516272,3.52402518629064,0.000577398247271772,0.00228364250606364,NA,"2475/7133/6258/51094/10000/51703/5599/5970/1374/32/7132/207/4792/23205/6774/92579/6517/208/5443/5105/5465/1375/4790/2180/10891/5602/23305/5601/5562/51422/3551/6256/7186",33
"Environmental Information Processing","Signal transduction","hsa04392","Hippo signaling pathway - multiple species","17/2647","29/9370",0.586206896551724,2.07508825866628,3.63821588936346,0.000588469173688821,0.00230156832376072,NA,"83937/10413/7003/8642/26524/84962/126374/9770/1454/102800317/25937/8994/54798/23286/79981/7005/6788",17
"Cellular Processes","Cellular community - eukaryotes","hsa04550","Signaling pathways regulating pluripotency of stem cells","59/2647","144/9370",0.409722222222222,1.45035784745834,3.41723062722813,0.000639372040160428,0.00247317536413704,NA,"1855/54361/10637/7044/10000/3716/5293/2263/657/84333/5080/3265/81029/7471/207/2103/5604/4088/3480/8312/5595/463/7703/6774/7473/8313/2885/4087/4089/6929/3718/208/5605/3625/8324/80326/5013/4211/3398/5594/7477/6300/5600/7476/1857/1499/7474/2247/2261/10336/658/6932/2264/3977/3720/3400/5603/8326/2260",59
"Organismal Systems","Digestive system","hsa04971","Gastric acid secretion","35/2647","76/9370",0.460526315789474,1.63019704531446,3.46117739935946,0.000685542368237454,0.00262294471325635,NA,"477/818/3784/5331/3709/112/196883/54207/801/5330/115/113/2520/482/71/5566/478/808/109/85366/2778/23236/5332/9992/4638/815/108/340156/3710/6522/816/107/60/114/5568",35
"Environmental Information Processing","Signal transduction","hsa04370","VEGF signaling pathway","29/2647","60/9370",0.483333333333333,1.71093061327289,3.46633103011332,0.00073769029897009,0.00279211812083303,NA,"842/9047/9261/10000/5293/3265/5829/207/100137049/123745/283748/5604/5595/8877/5881/208/5605/25759/6714/5594/5880/6300/5600/7867/5603/7422/4846/5879/5747",29
"Human Diseases","Cancer: specific types","hsa05217","Basal cell carcinoma","30/2647","63/9370",0.476190476190476,1.68564592440679,3.42615771738512,0.000821953913825153,0.00307795508155802,NA,"1855/54361/8643/51684/6934/1643/81029/7471/374654/8312/7473/8313/7157/2736/8324/80326/83439/7477/7476/1857/1499/7474/51176/6932/6608/6469/2737/8326/10912/5727",30
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","76/2647","196/9370",0.387755102040816,1.37259739558838,3.30773354160077,0.000838666760101218,0.00310748104795399,NA,"2475/842/9261/2786/440738/10000/3725/3716/5293/6934/5599/355/3265/3665/5970/595/643246/3709/6773/7132/2784/5925/7187/207/10379/4776/4792/2353/801/5604/5595/1387/4775/51764/6774/2793/7157/4772/3383/7297/7311/208/5605/808/94235/3661/718/5609/1385/83439/1869/84557/6714/57580/3455/637/5594/2033/6300/5600/1499/4790/51176/2247/5602/6932/5601/3710/5603/7422/3569/5879/3551/4067/285/7186",76
"Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","93/2647","248/9370",0.375,1.32744616547034,3.27916107426227,0.000868966035426728,0.00318620879656467,NA,"23207/338382/375/10000/3725/5293/10121/6934/840/5599/5286/3265/5970/64837/65082/84790/7132/10810/1778/3320/3831/207/113146/4792/10640/2353/23191/57617/23339/5604/257364/5595/29108/29109/5606/23265/9267/71/596/1785/5585/208/5605/147700/9266/6237/5609/1639/83439/64601/10398/81027/5594/27128/10454/6300/5600/7879/26084/1499/55207/54106/4790/51176/7097/5602/6932/26999/5601/112574/23118/51429/5603/89953/55770/6885/93408/5420/653857/57180/3569/10392/9844/27072/58498/60/9265/5879/10552/79792/3551/81873/7186",93
"Human Diseases","Cancer: specific types","hsa05220","Chronic myeloid leukemia","35/2647","77/9370",0.454545454545455,1.60902565511557,3.36701472826957,0.00091989992948021,0.00332930733463918,NA,"7042/10000/5293/1488/1643/3265/5970/595/9846/5925/207/4792/7043/399694/5604/4088/5595/6777/6776/2885/7157/4089/208/5605/25759/1869/861/1399/5594/613/4790/1487/3551/53358/10912",35
"Cellular Processes","Cell growth and death","hsa04210","Apoptosis","56/2647","137/9370",0.408759124087591,1.44694861832291,3.30665206265562,0.000926909428393863,0.00332930733463918,NA,"4803/842/4000/4914/142/10000/1677/3725/5293/840/5599/5551/355/63970/3265/823/5970/1521/8722/3709/84790/7132/317/207/4792/2353/5604/1512/597/5170/5595/9020/7157/71/5366/596/84823/208/5605/8837/27429/1522/637/5594/4790/5602/5601/3710/60/1508/3551/7185/153090/6709/7186/10912",56
"Human Diseases","Cancer: specific types","hsa05223","Non-small cell lung cancer","33/2647","73/9370",0.452054794520548,1.60020907618343,3.2302386373644,0.00142808042037263,0.00502476270136371,NA,"842/6258/83593/10000/5293/5979/1643/3265/595/5925/207/5604/5170/5595/2064/6777/6776/6774/2885/7157/3718/208/5605/238/7039/1869/6789/5594/2272/2309/1956/6256/10912",33
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","63/2647","160/9370",0.39375,1.39381847374386,3.15259582043339,0.00144036184008974,0.00502476270136371,NA,"79679/50848/6403/23114/6900/9672/149461/5792/8516/23705/5818/57689/923/9379/6404/1272/3695/920/9071/9369/4756/80381/9080/1003/1001/2734/1013/8506/5175/1000/5797/3383/933/5819/8174/5802/3655/3676/6382/5133/9378/925/6614/6385/958/1002/26285/23562/3689/7122/201633/10686/3680/100132463/100506658/3113/3115/4897/26047/137075/6383/84628/5789",63
"Cellular Processes","Transport and catabolism","hsa04140","Autophagy - animal","66/2647","169/9370",0.390532544378698,1.38242914273835,3.14788495136224,0.00144176429783447,0.00502476270136371,NA,"2475/338382/440738/10000/51100/5293/664/118471/5599/55626/3265/23130/7405/643246/65082/3916/3146/55578/207/53349/440275/57617/23339/23604/5604/3480/7249/5170/5595/140775/9706/10241/55062/57521/596/84971/5566/4218/7311/208/5605/6237/8837/55054/23192/64601/84557/9342/5594/8897/10533/7879/22808/5580/5602/5601/5562/6885/285973/6009/27072/26100/1508/64798/5568/1612",66
"Organismal Systems","Endocrine system","hsa03320","PPAR signaling pathway","34/2647","76/9370",0.447368421052632,1.5836199868769,3.20536620000312,0.00151911266069446,0.00524242800553384,NA,"6258/51703/10580/345/10062/9415/1374/10873/23205/5346/5170/376497/729359/440503/51129/1593/2168/5360/5105/5465/1375/1962/30/8309/2180/8310/28965/23305/2172/5467/10999/6256/123/364",34
"Metabolism","Lipid metabolism","hsa00561","Glycerolipid metabolism","30/2647","65/9370",0.461538461538462,1.6337798959635,3.21720683702402,0.00154490223608654,0.00527966589419865,NA,"10327/57678/196051/26007/57104/217/1606/3990/9663/8612/23175/116255/8527/64900/56894/80339/11343/1608/132158/84803/8611/56895/154141/7920/231/8694/137964/1056/10555/219",30
"Organismal Systems","Immune system","hsa04625","C-type lectin receptor signaling pathway","44/2647","105/9370",0.419047619047619,1.48336841347797,3.12530379640796,0.00175122997120828,0.0059272399025511,NA,"2207/9261/10000/3725/5293/5599/4046/3265/5970/3709/6773/207/10379/4776/4792/801/5595/29108/1540/6361/4775/8844/9020/4772/208/602/808/6237/6714/5594/6300/5600/22808/5580/4790/5602/3659/5601/3710/5603/3569/1960/3551/64170",44
"Human Diseases","Substance dependence","hsa05032","Morphine addiction","39/2647","91/9370",0.428571428571429,1.51708133196611,3.1100760019075,0.00191015826057159,0.00640357816877332,NA,"2563/134/2786/5142/2869/5138/408/112/2784/196883/2558/2567/5151/115/113/51764/409/2793/5141/773/5566/5143/94235/50940/5136/109/2778/2560/2566/5144/108/10846/2550/5137/107/114/774/5568/9568",39
"Metabolism","Lipid metabolism","hsa00564","Glycerophospholipid metabolism","43/2647","103/9370",0.41747572815534,1.47780414537799,3.0594332243772,0.00214176851176427,0.00711228788812287,NA,"5322/391013/55224/57678/196051/142891/81490/54979/1119/56994/1606/122618/254531/100137049/123745/283748/10423/23659/10400/5338/9489/9663/8612/23646/10908/23175/8527/64900/56894/50487/8398/1608/5130/64850/84803/79888/8611/56895/154141/137964/9791/10555/375775",43
"Environmental Information Processing","Signal transduction","hsa04012","ErbB signaling pathway","37/2647","86/9370",0.430232558139535,1.52296149216753,3.05698568717417,0.00227069775515956,0.00746995897024452,NA,"2475/10000/3725/5293/5599/818/3265/2065/207/56924/399694/5604/5595/2064/6777/6776/2885/10298/208/5605/25759/5609/8440/7039/6714/1399/5594/2549/5602/9542/815/5601/816/1956/5747/3084/53358",37
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","71/2647","187/9370",0.379679144385027,1.34400966486124,2.98154377296785,0.0023301279183723,0.00759449099321343,NA,"9927/440738/3725/3716/2635/2634/5599/7417/79671/171389/3665/5331/5970/4940/4939/643246/5027/3709/6773/3320/7187/55072/10379/4792/5330/9051/5595/29108/260434/64127/1535/7531/51393/6347/22861/596/7297/5585/3661/55054/84168/84557/57506/10616/23236/5332/3455/7226/5594/10454/6300/5600/820/5580/4790/5602/7416/340061/5601/23118/3710/5603/6885/3569/10392/1508/79792/3551/7419/64170/7186",71
"Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","56/2647","142/9370",0.394366197183099,1.39599972331154,2.98350861514404,0.00246572711222447,0.00789767998828903,NA,"1435/7042/10000/3725/3716/5293/5599/5970/8061/9846/488/3709/6773/7132/207/10379/4792/2353/5604/487/5595/1540/1535/9020/3690/2885/4772/7297/54/7305/208/5609/3554/2274/1385/3455/3460/5594/10454/6300/5600/4286/4790/5602/1436/3937/5601/2534/23118/3710/5603/6885/5879/4982/3551/7186",56
"Human Diseases","Cancer: specific types","hsa05216","Thyroid cancer","19/2647","37/9370",0.513513513513513,1.81776411848191,3.12723353383029,0.00246802499634032,0.00789767998828903,NA,"4914/6258/6934/5979/1643/3265/595/5604/5595/7157/5605/7849/83439/5594/1499/51176/6932/6256/10912",19
"Cellular Processes","Cell motility","hsa04814","Motor proteins","73/2647","194/9370",0.376288659793814,1.33200783614206,2.93200381585573,0.00267584739802518,0.00848557012707084,NA,"832/23046/7139/57576/58/55083/10121/7136/7140/64837/4647/283446/196385/84790/4640/23026/1778/3831/26153/4624/57519/4643/374654/55567/146439/3801/1770/4641/51168/4642/80179/146909/4635/64446/124602/80022/146754/8632/71/4645/7171/4650/147700/79784/4648/56171/547/3797/72/1639/55614/9371/57644/10398/7125/81027/84700/4627/10126/4634/25981/4651/3834/221458/89953/93408/58498/64005/60/90990/113220/27019/7169",73
"Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","45/2647","110/9370",0.409090909090909,1.44812308960401,2.96640336632217,0.00276058773948675,0.00867613289552978,NA,"2475/3570/10000/8569/5293/5214/80201/3098/818/5970/5213/4055/207/5604/3480/6923/5595/1387/4843/2064/6774/596/208/112398/5605/3643/2034/3099/3460/5594/3162/2033/7018/7037/4790/815/253314/3101/7422/4846/3569/816/1956/285/7010",45
"Organismal Systems","Immune system","hsa04660","T cell receptor signaling pathway","49/2647","122/9370",0.401639344262295,1.42174561984802,2.94204031837462,0.00288546400555137,0.00898834805269099,NA,"10451/919/10000/3725/5293/55844/5599/3265/5970/920/5777/5527/207/4792/5529/2353/56924/5604/5170/5595/4775/9020/2885/4772/10298/208/5605/5518/5609/8440/5133/925/7535/5594/9402/6300/5600/4790/5522/5602/3937/5601/2534/5603/5528/6885/84433/3551/7410",49
"Organismal Systems","Endocrine system","hsa04923","Regulation of lipolysis in adipocytes","27/2647","59/9370",0.457627118644068,1.61993430362483,2.99719876785854,0.00302487501803031,0.00920317798955316,NA,"4881/134/10000/5293/54979/57104/112/207/196883/5346/115/113/5566/208/3643/109/2778/11343/51099/63924/154/108/107/114/5742/364/5568",27
"Human Diseases","Cancer: specific types","hsa05213","Endometrial cancer","27/2647","59/9370",0.457627118644068,1.61993430362483,2.99719876785854,0.00302487501803031,0.00920317798955316,NA,"842/10000/5293/6934/1643/3265/595/207/5604/5170/8312/5595/2064/8313/2885/7157/208/5605/1496/83439/5594/1499/51176/6932/2309/1956/10912",27
"Organismal Systems","Immune system","hsa04658","Th1 and Th2 cell differentiation","39/2647","93/9370",0.419354838709677,1.48445592697759,2.94600855750809,0.00305901086584579,0.00920317798955316,NA,"4853/919/3725/3716/5599/5970/6778/920/3714/4792/2353/54567/3566/5595/4775/4094/6777/6776/4772/7297/3718/3594/10683/7535/182/3460/5594/3560/6300/5600/4790/3516/5602/9794/5601/3113/3115/5603/3551",39
"Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","39/2647","93/9370",0.419354838709677,1.48445592697759,2.94600855750809,0.00305901086584579,0.00920317798955316,NA,"842/6258/3914/10000/5293/1643/5970/595/317/1282/1284/5925/7187/207/4792/4843/9618/3674/3675/7157/3909/596/284217/208/3655/1285/1869/3911/2272/4790/3912/5747/3551/9134/7185/10319/6256/7186/10912",39
"Human Diseases","Cancer: specific types","hsa05214","Glioma","33/2647","76/9370",0.434210526315789,1.53704292843935,2.94955500064678,0.00320368078415118,0.00955674267814589,NA,"2475/10000/5293/57118/818/1643/3265/595/5925/207/801/399694/5604/3480/5595/2885/7157/208/5605/25759/808/7039/1869/5594/8536/5156/5159/815/816/5154/1956/53358/10912",33
"Human Diseases","Cancer: overview","hsa05207","Chemical carcinogenesis - receptor activation","80/2647","217/9370",0.368663594470046,1.30501619954074,2.85241739177359,0.00329834379129881,0.00975644550031246,NA,"2944/2949/2475/4853/6258/779/2052/10000/164091/3725/5293/2253/90993/3265/5970/595/408/4257/775/7421/112/7471/5925/3320/207/196883/2100/2353/54567/5604/1543/1136/1143/5595/115/113/6777/6776/6774/409/2885/596/773/5566/79852/10683/208/5605/27006/1385/109/182/1869/6714/2778/1137/5594/25774/5465/604/776/4790/2247/4258/79799/154/8817/108/6196/896/7422/85315/107/1956/114/8822/2053/6256/774/5568",80
"Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","72/2647","193/9370",0.373056994818653,1.32056820606376,2.82351936062418,0.0036643154175168,0.0107486585580493,NA,"10451/5590/2786/10000/2268/5293/2869/56288/3265/5331/10235/5970/408/5829/112/6773/2784/6011/207/196883/4792/5330/399694/5604/5595/115/113/6361/51764/6347/6777/6774/2826/409/58191/2793/2885/5881/5566/3718/208/25759/94235/7852/109/6714/57580/23236/5332/7074/1399/5594/5880/131890/1524/2829/5580/4790/9547/108/2309/9844/107/5879/114/5747/2185/3551/4067/7410/5568/53358",72
"Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis","45/2647","112/9370",0.401785714285714,1.42226374871823,2.820825730982,0.00415000082052773,0.0119830456839257,NA,"842/3914/7042/10000/3716/240/5599/10105/5970/7132/207/4792/7043/4261/5170/5595/5606/4843/6774/3909/596/284217/7297/208/3655/958/3911/3588/3460/5594/10454/6300/5600/4790/7097/5602/5601/23118/3113/3115/5603/6885/3912/3551/10319",45
"Human Diseases","Cancer: specific types","hsa05219","Bladder cancer","20/2647","41/9370",0.48780487804878,1.72675923963622,2.92622002633211,0.0041532146972697,0.0119830456839257,NA,"3265/595/5925/9252/23604/5604/5595/4313/2064/7157/5605/1869/6714/5594/7380/1890/2261/7422/1956/1612",20
"Organismal Systems","Endocrine system","hsa04924","Renin secretion","30/2647","69/9370",0.434782608695652,1.53906801793663,2.81997542910739,0.00471106546674429,0.0134820735308454,NA,"4881/779/134/5972/1907/3778/5331/84876/775/3709/112/5732/801/5330/1636/5566/808/5136/1385/2778/23236/5332/776/154/3710/358/117/5137/1508/5568",30
"Environmental Information Processing","Signal transduction","hsa04150","mTOR signaling pathway","60/2647","158/9370",0.379746835443038,1.34424928148896,2.73820939238904,0.00483967086730819,0.0137384205265523,NA,"2475/1855/54361/10000/5293/79899/3265/6520/4041/6249/81029/7471/7132/207/5604/3480/8131/9894/7249/5170/5595/84219/8140/201163/9706/7473/92335/2885/57521/9663/220441/208/5605/3643/245973/23175/8324/80326/51719/525/64900/5594/652968/9681/55615/7477/6396/7476/1857/7474/253314/5562/6196/6009/2887/8326/729438/64798/3551/79109",60
"Organismal Systems","Endocrine system","hsa04918","Thyroid hormone synthesis","32/2647","75/9370",0.426666666666667,1.51033874826848,2.78423900443364,0.00507218333590118,0.0142832682738977,NA,"477/2882/486/90993/5331/3709/112/196883/2877/5330/53905/115/113/432/482/5566/478/7849/4036/1385/109/2778/23236/5332/2876/108/3710/9601/107/114/7038/5568",32
"Human Diseases","Cancer: overview","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","37/2647","90/9370",0.411111111111111,1.45527431473786,2.72309285391084,0.00570656987880152,0.0159421634709376,NA,"2475/919/10000/3725/3716/5293/283106/3265/5970/920/5777/207/4792/2353/5604/5595/1459/4775/5606/6774/4215/4772/208/5605/5133/238/7535/3460/5594/6300/5600/54106/4790/7097/5603/1956/3551",37
"Organismal Systems","Digestive system","hsa04970","Salivary secretion","38/2647","93/9370",0.408602150537634,1.44639295449098,2.7145451024745,0.00579267762877618,0.0160552954750332,NA,"477/493/1755/3778/486/727897/5331/4842/3709/112/196883/801/5330/115/113/482/6844/5566/478/3783/808/109/1471/1473/2778/23236/5332/491/820/154/147/108/3710/6522/107/114/148/5568",38
"Human Diseases","Endocrine and metabolic disease","hsa04936","Alcoholic liver disease","55/2647","144/9370",0.381944444444444,1.35202850186794,2.67112605016093,0.0059176138720062,0.016273438148017,NA,"51094/712/714/713/10000/6934/5599/355/5970/1374/595/32/217/7132/7187/207/4792/23417/5606/9020/2194/9663/208/3661/718/5609/23175/83439/2168/3929/64900/23765/10454/5465/6300/5600/1375/1499/4790/51176/10891/8310/5602/6932/5601/5562/2309/23118/5603/6885/51422/3569/3551/727/219",55
"Metabolism","Global and overview maps","hsa01250","Biosynthesis of nucleotide sugars","18/2647","37/9370",0.486486486486487,1.72209232277234,2.76137247313696,0.00664537234783105,0.0181331090421436,NA,"2582/5236/80201/3098/2585/4351/197258/2821/80146/3099/5372/55586/29925/3101/9945/2645/10020/54187",18
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","78/2647","216/9370",0.361111111111111,1.27828149267515,2.59625759630936,0.00672659532515991,0.0182135504188945,NA,"10451/842/142678/6258/6403/10000/3725/5293/840/5599/818/355/25833/3265/3665/5331/5970/7132/317/3320/7187/207/4792/2353/801/5330/1543/5170/5595/29108/4775/1535/5606/6347/6774/7157/57534/596/4772/3383/208/9138/5452/808/3661/5609/4780/338/6714/3929/958/23236/5332/9619/637/5594/10454/6300/5600/4790/7097/5602/815/5601/23118/5603/6885/4846/3569/816/5879/5747/3551/4067/19/7410/6256/7186",78
"Cellular Processes","Transport and catabolism","hsa04142","Lysosome","88/2647","249/9370",0.353413654618474,1.25103360172841,2.51914019442279,0.00807478307514664,0.0216971270416154,NA,"2475/55315/5660/161/112936/114879/53/51296/1521/3177/8722/10312/219931/53373/65082/23457/121260/3916/5641/57617/23339/23312/54982/1512/8120/10239/9516/84572/1186/9894/23062/527/1201/23659/57707/535/4669/114881/1213/22901/23163/2548/6448/57521/4864/54/8907/8943/1175/160/57192/245973/114880/525/64601/1522/9885/8218/9342/162/26088/4668/7879/2720/55207/54106/4286/3425/768239/84286/2760/1212/411/28962/8763/3482/7942/9179/26031/27072/9907/2990/1508/64798/2055/9583/20/1211",88
"Organismal Systems","Nervous system","hsa04727","GABAergic synapse","36/2647","89/9370",0.404494382022472,1.4318520436534,2.56847078746781,0.0085702736231108,0.0228290520677513,NA,"779/2563/2786/775/6539/6540/81539/112/2784/196883/2558/2567/115/113/51764/18/9001/2793/773/5566/94235/2571/109/6714/6538/6529/776/2560/2566/108/2550/107/114/774/5568/9568",36
"Organismal Systems","Nervous system","hsa04730","Long-term depression","26/2647","60/9370",0.433333333333333,1.53393779121018,2.60335551637242,0.00862574978696285,0.0228290520677513,NA,"3265/5331/4842/3709/5330/100137049/123745/283748/5604/3480/5595/1394/10672/773/2767/6261/5605/5518/2778/23236/5332/5594/2781/3710/2768/4067",26
"Environmental Information Processing","Signal transduction","hsa04152","AMPK signaling pathway","47/2647","122/9370",0.385245901639344,1.36371518638483,2.53722787479081,0.00869380173898553,0.0228374493442008,NA,"2475/200186/51094/10000/5293/55844/5214/90993/1374/595/32/5213/5527/207/5529/3480/7249/5170/23417/92579/92335/6517/57521/2194/1149/4218/1938/208/5518/3643/1994/1385/51719/10890/5105/1375/5210/10891/23216/5522/5562/2309/5528/6885/6009/51422/148",47
"Metabolism","Amino acid metabolism","hsa00310","Lysine degradation","27/2647","63/9370",0.428571428571429,1.51708133196611,2.58384412853359,0.00894827820076573,0.0233318068642188,NA,"5351/7799/55870/56950/64754/63976/51111/217/23067/8085/9739/51268/2145/79709/84444/9757/79823/150572/5352/1962/7468/64324/85007/10919/8985/79813/219",27
"Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","58/2647","156/9370",0.371794871794872,1.31610047174838,2.49807442819125,0.0091884988925295,0.0237819971336058,NA,"842/10000/149461/3716/5293/55844/355/10062/3265/3665/5970/595/4940/4939/6773/7132/317/5925/9071/7187/207/10379/4792/5604/5595/9080/7531/6774/2885/7157/7297/208/5605/3661/5518/8837/1869/57506/26285/3455/23562/4599/637/7122/5594/5465/10686/1499/4790/100132463/5522/100506658/1956/3551/137075/6256/7186/23586",58
