"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","104/2647","250/9370",0.416,1.47258027956177,4.7521508097042,3.05451290209108e-06,2.90591497712449e-05,NA,"832/5590/375/5867/55616/26119/51100/8729/2869/2263/8027/56288/118813/161/112936/84364/3265/55048/10938/2348/116985/408/11021/440073/10193/8411/6011/23111/30844/51324/8766/4088/5371/6457/3480/9727/27183/9798/5119/147179/409/5338/55040/1213/9267/79643/9146/4087/23327/11031/1785/4218/58513/93343/23396/6455/1175/30846/9266/160/29924/23550/274/7852/7456/116987/10890/30845/26056/8853/27131/6714/84612/55738/8218/3560/27128/26286/7879/9922/131890/7037/2261/5156/84249/1212/2264/80230/3482/653857/116988/57180/273/1956/9265/155382/10552/50807/91782/10565/81873/1759/1211/8395",104
"Cellular Processes","Cellular community - eukaryotes","hsa04520","Adherens junction","47/2647","93/9370",0.505376344086022,1.78895970687043,4.79771619777681,4.22678798579292e-06,3.91534044999765e-05,NA,"10163/5792/9411/6934/56288/10580/283106/5818/5795/5777/10810/4088/3480/5595/1387/1459/1003/2064/10458/71/5881/4089/5797/7525/5819/3643/1496/83439/10398/6714/5770/5594/5880/2033/57493/1499/51176/6932/2534/6885/93408/58498/55698/1956/60/5879/2260",47
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","141/2647","362/9370",0.389502762430939,1.37878386247748,4.6118332833507,4.82837072232214e-06,4.35791408783947e-05,NA,"1435/2475/4803/200186/3570/842/7059/4914/1969/7143/3914/2786/10000/1441/1298/9048/3716/5293/2253/2263/55844/8516/5979/118788/3481/90993/3265/1128/5970/595/894/1280/3695/3678/3679/2065/7450/2784/1282/1284/5527/3320/207/5529/5228/5604/22801/3480/7249/5170/3566/5595/51764/7531/2064/92579/3674/3690/2793/4804/3675/1277/2885/3691/7157/57521/3909/596/284217/11140/1943/5585/3718/1311/9170/208/5605/94235/5518/27006/3643/3655/3676/1385/1285/1293/7039/10110/5105/3911/1299/3455/1291/5594/5008/3560/3693/3680/9223/4790/2247/7097/2261/5156/3815/5522/2246/1436/5159/8817/253314/2264/9180/5562/3672/2149/2309/7058/7148/896/5528/7422/3912/1129/4846/6009/3569/5154/1956/5879/5747/8822/2260/3551/285/9134/29941/10319/6256/7010/4915",141
"Organismal Systems","Nervous system","hsa04722","Neurotrophin signaling pathway","57/2647","120/9370",0.475,1.68143180959577,4.71394155779046,5.23088179869475e-06,4.60317598285138e-05,NA,"4803/4914/9261/10000/7161/3725/5293/5599/818/3265/5970/207/4792/5663/801/9252/399694/5604/5607/4916/5170/398/25970/5595/7531/4804/4215/2885/7157/596/4145/208/5605/25759/808/5609/1399/5594/6300/5600/5580/4790/2549/5602/815/5601/4214/2309/6196/5603/10603/816/5879/3551/2889/4915/53358",57
"Human Diseases","Cancer: overview","hsa05231","Choline metabolism in cancer","49/2647","99/9370",0.494949494949495,1.75205015779251,4.7200124912914,5.67137416856237e-06,4.84134671578498e-05,NA,"2475/10000/10163/3725/126969/5293/5599/3265/1119/56994/1606/10810/207/2353/100137049/123745/283748/5604/7249/5170/5595/5338/2885/5881/57153/8612/23396/208/5605/8527/5594/5880/1608/5130/5156/5602/6583/5159/5601/8611/6582/6581/80736/6009/5154/1956/5879/5900/8395",49
"Organismal Systems","Endocrine system","hsa04928","Parathyroid hormone synthesis, secretion and action","55/2647","115/9370",0.478260869565217,1.69297481973029,4.69159157037221,5.88554788045242e-06,4.84134671578498e-05,NA,"6258/5142/90993/5331/4041/408/4326/3709/7421/112/4666/1594/65125/4323/196883/2353/5330/5604/11214/5595/115/113/6559/4324/65266/409/5338/10672/596/5141/5566/5143/2767/9138/4929/1385/109/9935/2778/23236/5332/5594/5745/5144/108/4208/3710/2768/107/1956/114/2260/6256/5568/65268",55
"Organismal Systems","Development and regeneration","hsa04360","Axon guidance","80/2647","184/9370",0.434782608695652,1.53906801793663,4.633736054894,5.91414513576006e-06,4.84134671578498e-05,NA,"10500/64218/1969/5590/5362/54361/2048/5293/57715/3983/56288/818/6585/64221/57689/3265/1072/29984/54961/54434/81029/27289/4776/56924/4756/8482/10509/56963/5170/5595/4775/85464/5881/9423/1943/10298/6237/8440/7852/151449/56896/54910/10398/6714/84612/655/5594/3985/5880/23654/91653/54437/5361/2047/2049/6405/56920/7474/9901/84448/658/22885/815/90249/9037/2534/2050/6608/91584/2051/2041/6469/816/5879/3984/5747/137970/5998/84628/5727",80
"Human Diseases","Cancer: specific types","hsa05210","Colorectal cancer","44/2647","87/9370",0.505747126436782,1.79027222316307,4.64658839061441,8.29023530672368e-06,6.63218824537895e-05,NA,"2475/842/7042/10000/3725/5293/6934/5599/1643/3265/595/207/2353/7043/5604/4088/8312/5595/8313/2885/7157/5881/4087/4089/5366/596/208/5605/5899/4436/2956/7039/83439/5594/5880/1499/51176/5602/6932/5601/1956/5879/5900/10912",44
"Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","50/2647","103/9370",0.485436893203884,1.71837691323022,4.59984748400075,9.16769487863138e-06,7.17117466061832e-05,NA,"919/7042/712/714/713/10000/3725/5293/55844/5599/355/5331/5970/7132/207/4792/2353/7043/624/5330/5595/4843/6347/1636/2774/4087/2767/2769/208/5518/718/8837/2778/23236/5332/3460/5594/6300/5600/54106/4790/7097/5522/5602/5601/5603/3569/107/3551/9630",50
"Organismal Systems","Endocrine system","hsa04927","Cortisol synthesis and secretion","35/2647","65/9370",0.538461538461538,1.90607654529075,4.59944481505671,1.18694683155067e-05,9.08272358056162e-05,NA,"5087/779/1586/90993/5331/84876/775/3709/112/196883/5330/5151/8912/115/113/8913/4158/5566/2767/1385/109/5443/3777/2778/23236/5332/8911/57552/776/108/3710/107/114/2516/5568",35
