"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008038","neuron recognition","14/1791","48/18860",0.291666666666667,3.071375395496,4.65441422139614,9.97863320732109e-05,0.00874944702587381,NA,"NTM/OPCML/RTN4/NCAM2/APP/CNTN6/CNTN4/ROBO2/ROBO1/GAP43/SEMA5A/EMB/CNTNAP2/YWHAZ",14
"GO:0018193","peptidyl-amino acid modification","62/1791","404/18860",0.153465346534653,1.61605607796961,4.05457391878435,0.000104176561671043,0.00896631087606272,NA,"TTLL7/ABL2/MAPK8/CDK1/SLF2/EEF1AKMT2/HIPK3/RAB6A/ATM/IL18/CREBL2/DIP2B/TBK1/ZDHHC20/USPL1/SETD3/DPH6/FGF7/HMG20A/IGF1R/CREBBP/NLK/ERBB2/KAT7/TLK2/ROCK1/PIAS2/PRKCE/STK39/ABI2/ERBB4/TOP1/STK4/MAPK1/CTNNB1/GSK3B/PDCD10/SENP2/P3H2/IL21/SETD7/ATPSCKMT/HINT1/NSD1/ZNF451/EPHA7/CNKSR3/ZDHHC14/VKORC1L1/LMTK2/SRPK2/BRAF/TNKS/ZDHHC2/NRG1/EYA1/RIPK2/ENPP2/NSMCE2/UHRF2/AGTPBP1/TGFBR1",62
"GO:0043113","receptor clustering","17/1791","66/18860",0.257575757575758,2.71238346615231,4.51405105104391,0.000105358413611935,0.00896631087606272,NA,"LRRC7/NME7/DLG2/GPHN/SHISA6/CDH2/NRXN1/NLGN1/DLG1/WDR19/FZD9/MAGI2/RELN/PTN/ZDHHC2/FNTA/MUSK",17
"GO:0097119","postsynaptic density protein 95 clustering","6/1791","10/18860",0.6,6.31825795644891,5.44899996619737,0.000109054406110218,0.00914634562550477,NA,"CDH2/CRIPT/NRXN1/ZMYND8/NLGN1/RELN",6
"GO:0030048","actin filament-based movement","29/1791","147/18860",0.197278911564626,2.07743175438796,4.24795408196019,0.000112033356054719,0.00926195759269509,NA,"LUZP1/WASF2/PDE4B/FNBP1L/NOS1AP/CTNNA3/SHTN1/SCN8A/ATP2A2/FRMD6/CCDC88C/MYO5A/MYO1D/KCNJ2/ROCK1/SCN2A/WIPF1/CACNA1D/STRIT1/FGF12/DLG1/LIMCH1/ANK2/CAMK2D/PDE4D/SGCD/MYO6/QKI/CACNA2D1",29
"GO:0048638","regulation of developmental growth","53/1791","332/18860",0.159638554216867,1.68106260889454,4.05550454537511,0.00011697811620601,0.00953454026034052,NA,"MACF1/TNR/SYT2/PROX1/CDK1/SHTN1/LIN7C/WT1/PAK1/DIP2B/SPART/MYCBP2/AKAP6/SAV1/NTRK3/FTO/IST1/ULK2/STAT5B/SPAG9/AFG3L2/DCC/PUM2/RTN4/TTL/CREB1/ERBB4/SLC23A2/STK4/GNAS/APP/CLASP2/GOLGA4/FOXP1/GSK3B/MAP3K13/RBPJ/SEMA5A/NIPBL/JARID2/RIMS1/EPHA7/POU3F2/LATS1/SMURF1/NRG1/CHD7/STK3/ZFPM2/TGFBR1/MUSK/GPR21/ABL1",53
"GO:0006893","Golgi to plasma membrane transport","18/1791","73/18860",0.246575342465753,2.59654436566394,4.42707406526196,0.000122876855117203,0.00987622723004521,NA,"MACF1/RNF115/GOLPH3L/OPTN/ANK3/EXOC6/EXOC5/SPTBN1/COMMD1/EXOC6B/ACSL3/ARFGEF2/GOLGA4/ATP2C1/KIF13A/EXOC4/ANXA13/LPAR1",18
"GO:0072583","clathrin-dependent endocytosis","14/1791","49/18860",0.285714285714286,3.00869426497567,4.56046389620074,0.000127603076886966,0.0100754843773842,NA,"SGIP1/FNBP1L/PICALM/HIP1R/SH3GL3/GAS7/AP2B1/CLTC/AAK1/PIK3CB/BMP2K/LMBRD1/SNAP91/MAGI2",14
"GO:0031032","actomyosin structure organization","38/1791","215/18860",0.176744186046512,1.86119226624076,4.1137816930334,0.000128838058394061,0.0100754843773842,NA,"LUZP1/WASF2/PROX1/CDC42BPA/ACTN2/ANKRD1/PAK1/PRKD1/FERMT2/EVL/TJP1/FRMD5/CORO2B/AKAP13/IQGAP1/MIR21/EPB41L3/ROCK1/ROCK2/CCDC88A/CLASP1/TMEFF2/CLASP2/MIR138-1/CD47/PAK2/LIMCH1/FHDC1/PTGER4/EPB41L4A/PHACTR1/EPB41L2/ANLN/BRAF/DLC1/TGFBR1/LPAR1/ABL1",38
"GO:1904377","positive regulation of protein localization to cell periphery","19/1791","80/18860",0.2375,2.50097710776103,4.35787081792847,0.000137926295325244,0.0105107186545876,NA,"GPSM2/KIF5B/RAB11FIP2/ZDHHC5/NUMA1/RAB38/AKAP5/PRKCE/NRXN1/SPTBN1/COMMD1/ACSL3/ATP2C1/DLG1/SNCA/EPB41L2/GNAI1/ZDHHC2/ANXA13",19
