"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045017","glycerolipid biosynthetic process","92/5302","245/18860",0.375510204081633,1.3357454637834,3.30782901811804,0.000799162015725445,0.0118145882185271,NA,"ACP6/PIGM/ETNK2/PIGV/MIR30C1/SH3GLB1/SLC44A3/PIK3CD/GPAM/INPP5F/ZRANB1/PLCE1/PIK3C2A/PGAP2/NR1H3/PTDSS2/DAGLA/KAT5/PITPNM1/CHKA/INPPL1/UVRAG/PNPLA2/MTMR2/CHPT1/DGKA/PIP4K2C/ABHD4/AJUBA/TTC7B/LPCAT4/CLN3/CDIPT/PIGQ/PLA2G15/INPP5K/PEMT/PGAP3/PLD2/PITPNM3/PGS1/IMPA2/LPIN2/SLC44A2/ABHD8/SLC27A1/PIP5K1C/PLIN5/NR1H2/C3/LPIN1/INPP1/MOGAT1/INPP5D/DGKD/EFR3B/TTC7A/INPP4A/PIGU/LPIN3/PCK1/AGPAT3/HDHD5/PI4KA/MTMR3/INPP5J/PNPLA3/DGKG/PCYT1A/PIGZ/ABHD5/INPP4B/ACSL1/PIGG/GPAT3/LPCAT1/PRKAA1/SYNJ2/AGPAT4/SLC44A4/IP6K3/UBE3C/PDGFA/DAGLB/DGAT1/MTMR7/GPAT4/PTDSS1/INPP5E/AGPAT2/PIGO/PIP5K1B",92
"GO:0006898","receptor-mediated endocytosis","103/5302","279/18860",0.369175627240143,1.31321243488289,3.29600553883346,0.000806358176691038,0.011865784558391,NA,"FCER1G/CNTN2/FCMR/HSPG2/ARF1/LDLRAP1/RNF220/PCSK9/INPP5F/DMBT1/CALY/CUBN/AP2A2/LYVE1/APOC3/SORL1/LDLRAD3/APLNR/DRD4/TPCN2/CTTN/FOLR1/ARAP1/FCHSD2/ARRB1/MTMR2/ATXN2/LMBR1L/CD9/AMN/ANG/STON2/RIN3/SH3GL3/SYT17/GSG1L/CLN3/NECAB2/SCARF1/UNC119/ANKRD13B/ARHGAP27/ARRB2/ITGB3/CXCL16/PLD2/CLTC/ASGR1/USH1G/GRB2/HGS/NEDD4L/RAB31/DNM2/MIR199A1/LRP3/PIP5K1C/CEACAM1/APOE/AP2S1/AP2A1/C3/INSR/RALB/LRP2/ITGA4/CALCRL/SDC1/DGKD/ACKR3/ITSN2/AAK1/SIGLEC1/ITSN1/ITGB2/CLTCL1/MICALL1/PLXNB2/TMEM108/TF/TFRC/STAB1/GAK/ADRB2/CLTB/PDLIM7/SNX9/IGF2R/VEGFA/TFR2/MKLN1/RAMP3/RAC1/RABGEF1/HIP1/ARC/SCRIB/NRG1/DNM1/GPR107/ABCA2/CLTA/ENTREP1",103
"GO:1903522","regulation of blood circulation","103/5302","279/18860",0.369175627240143,1.31321243488289,3.29600553883346,0.000806358176691038,0.011865784558391,NA,"KCND3/HCN3/ATP1A2/NOS1AP/TNNT2/ADORA1/ATP2B4/AVPR1B/ECE1/TGFB2/ZC3H12A/EDN2/RNF207/PDE4B/CELF2/ADRA2A/ARHGAP42/SCN3B/KCNQ1/MYBPC3/SMTNL1/KCNE3/ATP2A2/NOS1/CACNA1C/ABCC9/KCNA5/EDNRB/HSP90AA1/MYH6/SLC8A3/CALM1/CHGA/BDKRB2/MAP2K1/HCN4/CACNA1H/ATP2A1/IRX3/IRX5/MMP2/MIR328/JPH3/YWHAE/KCNJ12/ASIC2/P2RX1/JUP/MYL4/CACNA1G/ACE/ATP1B2/GAA/PRKACA/SCN1B/TBXA2R/SPTBN4/ATP1A3/CALM3/SLC8A2/HRC/TRPM4/BIN1/ITGA4/PER2/FKBP1B/EHD3/EPAS1/ADRA2B/AVP/SNTA1/MYH7B/SRC/PTPN1/KCNE2/ATP2B2/HRH1/STRIT1/KCNMB2/THRB/ITGA9/SCN5A/MYL3/CACNA1D/OXTR/TACR3/ANK2/ADRA2C/ADRA1B/KCNIP1/PDE4D/F2R/GJA1/CHRM2/TBXAS1/KCNH2/NOS3/CACNA2D1/DOCK5/ADRA1A/TRPA1/DBH/SLC1A1",103
"GO:0014706","striated muscle tissue development","151/5302","430/18860",0.351162790697674,1.24913810497136,3.2680831221993,0.000809274655344968,0.0118811985774318,NA,"MTOR/MIR200B/NPPB/NOTCH2/LMNA/CACNA1S/TNNT2/MYOG/ATF3/TGFB2/SKI/ACTA1/TP73/HEYL/HIVEP3/TGFBR3/FGF8/NEURL1/FGFR2/NEBL/SVIL/MYOZ1/PPIF/BMPR1A/TLL2/YAP1/BCL9L/CDON/BMAL1/IGF2/MYBPC3/TENM4/ABCC9/ANKRD33/ERBB3/NACA/ADPRHL1/GJB6/RB1/MYH6/SIX4/FOS/ASB2/DLL4/SMAD3/HCN4/ALPK3/AKAP13/MESP1/NR2F2/SOX8/NPRL3/MRTFB/LUC7L/ZNF689/KAT8/IRX3/NDRG4/ZFPM1/NF1/KAT2A/NAGLU/CNTNAP1/ARRB2/CACNA1G/KDM6B/GREB1L/MYOM1/FHOD3/SMAD4/ALPK2/BCL2/CTDP1/NDUFV2/MIR199A1/MBD3/RYR1/EEF2/SIRT6/FKRP/PRMT1/VRK3/MYH14/FHL2/LRP2/CFLAR/FZD7/CREB1/OBSL1/DNER/CHRND/GPC1/SOX11/MEIS1/CYP26B1/VAMP5/ID2/SMYD1/MYLK2/EYA2/BMP7/RUNX1/COL6A1/MYO18B/LARGE1/MAFF/EP300/PPARA/MAPK11/VGLL4/HEG1/EPHB1/SCN5A/CTNNB1/MYL3/USP19/GPX1/FLNB/ADAMTS9/LMOD3/LEF1/FGF2/RBPJ/PDGFRA/PDGFRB/MAML1/PRKAA1/MEF2C/GJA1/JARID2/UQCC2/PI16/PIM1/MED20/SRF/VEGFA/SMO/SHH/MYL7/ELN/PLEC/SCX/FOXH1/MYOM2/BIN3/ADRA1A/NRG1/FGFR1/EYA1/ENG/GTF3C5",151
"GO:0007613","memory","54/5302","131/18860",0.412213740458015,1.46630538382463,3.34911576759743,0.00082505829312043,0.0120850128326419,NA,"SYT11/FOXO6/ITGA8/ABCC8/KCNK4/CUX2/CCND2/ITGA5/DCAF11/NFATC4/SLC8A3/PSEN1/FOS/LGMN/EIF2AK4/PAK6/RASGRF1/NTAN1/JPH3/SERPINF1/KAT2A/MAPT/ITGA3/SLC2A4/CRTC1/CEBPA/APOE/SLC8A2/SHANK1/INSR/CREB1/ACSS2/ADNP/LRRN4/YTHDF1/PLCB1/COMT/LARGE1/SHANK3/SLC6A1/HRH1/ITPR3/SRF/ADGRF1/ADCY1/ADCY8/ARC/CSMD1/VPS13B/BRINP1/LCN2/DBH/SLC24A2/SLC1A1",54
"GO:0006887","exocytosis","132/5302","370/18860",0.356756756756757,1.2690366715263,3.26832521819717,0.000832173675958364,0.0121612139265915,NA,"SYT6/SDF4/DVL1/SV2A/SCAMP3/SYT11/RAB25/TMEM79/FCER1G/ATP13A2/SNAP47/SYTL1/FGR/PIK3CD/ADRA2A/STAM/BRSK2/PIK3C2A/SYT8/MRGPRX2/TSPAN18/SYT13/STX3/SYT7/TPCN2/GAB2/SYTL2/ATP2A2/RPH3A/P2RX7/APOLD1/STX2/LAMP1/EXOC3L4/TNFAIP2/EXOC5/PSEN1/TMED10/CHGA/VPS18/RAB11A/CPLX3/SCAMP2/SCAMP5/BAIAP3/SYT17/SYNGR3/PDPK1/IL4R/STX1B/RAB11FIP3/EXOC3L1/VPS4A/ARHGAP44/ADORA2B/DOC2B/LLGL1/SMCR8/RPH3AL/SRCIN1/P2RX1/HAP1/CD300A/LLGL2/UNC13D/EXOC7/VAMP2/HGS/RAB12/RAB31/RAB8A/UNC13A/SCAMP4/PIP5K1C/GRIK5/CEACAM1/EXOC3L2/CALM3/NAPA/LIN7B/SYT3/SYT5/BRSK1/PRAM1/RALB/CACNB4/SDC1/RUFY4/RAB10/OTOF/RAB11FIP5/SDC4/KCNB1/OSBPL2/ITSN1/ITGB2/MICAL3/SNAP29/BCR/PLA2G3/MYH9/RAC2/SYNGR1/SYN2/GATA2/RAB7A/WNT7A/CSPG5/ARL8B/KIT/CPLX1/NKD2/CPLX2/EXOC3/SV2C/F2RL1/SYTL3/PRKN/TMEM63B/EXOC2/SCRN1/MYO1G/RABGEF1/STX1A/LAT2/KCNQ3/SCRIB/ANK1/LYN/ARFGEF1/STXBP1/CACNA1B",132
"GO:0035024","negative regulation of Rho protein signal transduction","15/5302","25/18860",0.6,2.13428894756696,3.54888780401182,0.000844625388396039,0.01228669014653,NA,"MYOC/STMN1/ARHGAP42/KCTD10/KCTD13/RIPOR1/FLCN/TNFAIP1/ITGA3/ARHGAP35/HEG1/BCL6/RIPOR2/DLC1/KANK1",15
"GO:0046580","negative regulation of Ras protein signal transduction","15/5302","25/18860",0.6,2.13428894756696,3.54888780401182,0.000844625388396039,0.01228669014653,NA,"MFN2/TGFB2/WNT4/EPHB2/RASA3/NF1/RASAL3/NUP62/LZTR1/SPRY1/SPRY4/SYNGAP1/RABGEF1/DAB2IP/MAPKAP1",15
"GO:0045747","positive regulation of Notch signaling pathway","25/5302","50/18860",0.5,1.77857412297246,3.44724338412848,0.000848366224063042,0.0123129317040383,NA,"TGFB2/HES5/GDF2/TSPAN14/YAP1/ASCL1/WNT1/ACVRL1/JAG2/DLL4/MESP1/NOD2/STAT3/RFNG/AAK1/JAG1/SRC/SLC35H1/MFNG/HES1/GSX2/KIT/NOS3/LFNG/MIR126",25
"GO:0048712","negative regulation of astrocyte differentiation","11/5302","16/18860",0.6875,2.44553941908714,3.61730192806388,0.000856411418630318,0.0123172112855949,NA,"GPR37L1/HES5/DAB1/F2/HMGA2/NTRK3/NF1/MIR181C/MYCN/NR2E1/ID4",11
"GO:0071340","skeletal muscle acetylcholine-gated channel clustering","11/5302","16/18860",0.6875,2.44553941908714,3.61730192806388,0.000856411418630318,0.0123172112855949,NA,"DVL1/LRP4/RAPSN/FARP1/MESD/DNAJA3/CRKL/ETV5/DOK7/RAC1/FZD9",11
"GO:0098877","neurotransmitter receptor transport to plasma membrane","11/5302","16/18860",0.6875,2.44553941908714,3.61730192806388,0.000856411418630318,0.0123172112855949,NA,"CLSTN1/STX3/GRIP1/RAB11A/ARHGAP44/RAB8A/GRIP2/NSG1/CPLX1/SCRIB/SLC1A1",11
"GO:1903540","establishment of protein localization to postsynaptic membrane","11/5302","16/18860",0.6875,2.44553941908714,3.61730192806388,0.000856411418630318,0.0123172112855949,NA,"CLSTN1/RAPSN/STX3/GRIP1/RAB11A/ARHGAP44/RAB8A/GRIP2/NSG1/CPLX1/SCRIB",11
"GO:0048469","cell maturation","84/5302","221/18860",0.380090497737557,1.35203824732748,3.29197144912436,0.000862119989525829,0.0123713245449564,NA,"AGRN/NGF/TMEM79/MYOC/REN/CNTN2/C1QA/KDM1A/HES5/TAL1/RET/ASCL1/SRRM4/RND1/RB1/EDNRB/ANG/REC8/EPB42/GLDN/SPG21/FEM1B/SOX8/TBX6/IRX5/CBFB/SCARF1/P2RX5/C1QL1/RAC3/CABYR/BCL2/ANGPTL8/PRKACA/PCSK4/KLF2/CEBPA/SPTBN4/AXL/PPP2R1A/FUT6/C3/TFCP2L1/NR4A2/NPPC/EPAS1/BCL11A/FBXO41/ID2/KCNB1/LSM14B/PLA2G3/RAC2/BRD1/GATA2/BFSP2/HES1/CTNNB1/PTH1R/SLC26A6/TUSC2/IL21/MAEA/NKX6-1/ROPN1L/RAB24/FOXO3/RPS6KA2/ANKS1A/TCP11/VEGFA/NRCAM/AKR1B1/CNTNAP2/FAM20C/GHRHR/RAC1/BHLHA15/KCNQ3/FGFR1/GPAT4/LHX6/RXRA/LCN6",84
"GO:0003014","renal system process","58/5302","143/18860",0.405594405594406,1.44275942842521,3.32352610129203,0.000872965228376698,0.0124987386414204,NA,"NPPB/NPR1/KIRREL1/CLCNKA/CLCNKB/ADORA1/REN/GUCA2B/CLDN19/KCNMA1/KCNQ1/SLC22A6/SLC22A12/ADCY6/AQP2/GAS6/AKAP11/EDNRB/AMN/TMEM63C/LGMN/MYO1E/CORO2B/CHRNA3/CHRNB4/EMP2/CLN3/SLC5A2/SLC12A3/CYBA/INPP5K/SERPINF2/TRPV1/WNK4/ITGA3/ACE/MYO5B/BCL2/PRKACA/PKN1/RHPN2/ATP6V1B1/AVP/SULF2/GNAS/COMT/BCR/ADORA2A/SLC15A2/CLDN16/WFS1/F2R/F2RL1/PRKRIP1/AKR1B1/AQP1/PRKACG/PCSK5",58
