"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Cancer: overview","hsa05231","Choline metabolism in cancer","10/362","99/9370",0.101010101010101,2.61454322227803,3.23735778008403,0.00479022538401144,0.0337596836587473,NA,"2475/3725/160851/3091/5579/5291/5602/56034/1607/9162",10
"Environmental Information Processing","Signal transduction","hsa04072","Phospholipase D signaling pathway","13/362","149/9370",0.087248322147651,2.25833364233008,3.1037493890419,0.00500603977684381,0.0344601807894365,NA,"2475/160851/11069/23236/5332/2778/2917/5291/56034/1607/5294/9162/53358",13
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","16/362","203/9370",0.0788177339901478,2.04011648477261,3.00333030824807,0.00532893677134664,0.035849211007241,NA,"3725/7143/1793/4659/5579/9475/3680/1499/5291/5602/56034/340156/1297/3910/3912/53358",16
"Organismal Systems","Digestive system","hsa04972","Pancreatic secretion","10/362","102/9370",0.0980392156862745,2.53764489221103,3.13003965142751,0.00591638241101632,0.0389166487480185,NA,"3778/3709/490/488/5579/23236/5332/2778/3708/8671",10
"Human Diseases","Cancer: specific types","hsa05210","Colorectal cancer","9/362","87/9370",0.103448275862069,2.67765288626405,3.15140540416295,0.00624792836115824,0.0402040607587574,NA,"2475/3725/4088/1630/1499/5291/5602/4437/324",9
"Organismal Systems","Nervous system","hsa04722","Neurotrophin signaling pathway","11/362","120/9370",0.0916666666666667,2.37269797421731,3.03376170813511,0.00660409389808304,0.0415917402943102,NA,"3725/10818/4916/5291/5602/4790/4214/814/2309/4915/53358",11
"Human Diseases","Cancer: specific types","hsa05223","Non-small cell lung cancer","8/362","73/9370",0.10958904109589,2.83660031786877,3.15784919167959,0.0069043342830524,0.0425767280788231,NA,"5579/238/27436/6789/5915/5291/2309/1021",8
"Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","13/362","157/9370",0.0828025477707006,2.14325931660626,2.89588129552886,0.00771575679285163,0.0460685065648352,NA,"2475/5928/3709/4088/3708/776/5291/5530/4790/7416/2309/1021/4683",13
"Metabolism","Glycan biosynthesis and metabolism","hsa00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate","4/362","21/9370",0.19047619047619,4.93028150486714,3.61441021624711,0.00778184232514108,0.0460685065648352,NA,"50515/64131/10090/55790",4
"Organismal Systems","Digestive system","hsa04971","Gastric acid secretion","8/362","76/9370",0.105263157894737,2.72462925268974,3.02613240570747,0.00876721233840325,0.0494215640571867,NA,"3776/3709/5579/23236/5332/2778/3708/340156",8
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","15/362","196/9370",0.076530612244898,1.98091667606269,2.78206646682279,0.00891923488627545,0.0494215640571867,NA,"2475/3725/55970/3709/3091/10681/3708/1499/64422/5291/5602/5530/4790/1021/5294",15
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","13/362","160/9370",0.08125,2.10307320441989,2.82111783903864,0.00898908882320305,0.0494215640571867,NA,"257194/22854/57689/1272/5797/1000/9378/4685/3680/214/22871/4897/5789",13
"Environmental Information Processing","Signal transduction","hsa04310","Wnt signaling pathway","14/362","178/9370",0.0786516853932584,2.03581848656031,2.79688987679519,0.00901609614556784,0.0494215640571867,NA,"3725/4040/440193/4088/5579/9475/23236/5332/1499/79718/5602/5530/1501/324",14
